id,label
0,3
1,4
2,5
3,4
4,4
5,2
6,0
7,6
8,4
9,6
10,6
11,3
12,3
13,6
14,6
15,3
16,3
17,6
18,5
19,3
20,0
21,3
22,2
23,4
24,6
25,5
26,3
27,6
28,0
29,5
30,4
31,5
32,6
33,5
34,2
35,6
36,2
37,3
38,0
39,4
40,5
41,5
42,2
43,4
44,4
45,4
46,3
47,3
48,3
49,3
50,3
51,2
52,4
53,4
54,1
55,6
56,5
57,3
58,4
59,2
60,3
61,4
62,4
63,6
64,5
65,3
66,2
67,4
68,0
69,2
70,0
71,0
72,6
73,4
74,5
75,3
76,3
77,0
78,3
79,6
80,0
81,3
82,2
83,3
84,3
85,6
86,5
87,3
88,3
89,5
90,6
91,4
92,4
93,4
94,4
95,6
96,0
97,3
98,5
99,2
100,0
101,3
102,3
103,6
104,4
105,3
106,0
107,3
108,3
109,4
110,3
111,2
112,3
113,4
114,0
115,3
116,4
117,2
118,3
119,5
120,4
121,3
122,2
123,6
124,3
125,4
126,2
127,2
128,0
129,6
130,3
131,3
132,3
133,4
134,2
135,3
136,6
137,0
138,0
139,2
140,2
141,3
142,6
143,6
144,6
145,4
146,4
147,6
148,4
149,4
150,3
151,3
152,4
153,4
154,5
155,4
156,0
157,6
158,6
159,3
160,4
161,0
162,0
163,5
164,6
165,4
166,6
167,0
168,0
169,4
170,4
171,6
172,6
173,3
174,6
175,4
176,6
177,6
178,3
179,2
180,4
181,3
182,6
183,2
184,4
185,0
186,4
187,4
188,4
189,2
190,5
191,6
192,3
193,2
194,2
195,6
196,4
197,4
198,3
199,6
200,4
201,5
202,3
203,4
204,6
205,6
206,4
207,6
208,3
209,6
210,5
211,0
212,0
213,6
214,6
215,6
216,3
217,5
218,3
219,5
220,5
221,4
222,0
223,0
224,0
225,4
226,0
227,0
228,4
229,4
230,0
231,6
232,6
233,3
234,0
235,0
236,3
237,3
238,3
239,3
240,5
241,5
242,4
243,3
244,3
245,0
246,6
247,4
248,3
249,6
250,3
251,0
252,5
253,5
254,6
255,6
256,5
257,0
258,3
259,6
260,5
261,6
262,6
263,6
264,5
265,4
266,0
267,2
268,3
269,5
270,3
271,3
272,6
273,6
274,4
275,6
276,4
277,0
278,5
279,0
280,1
281,5
282,1
283,4
284,2
285,0
286,2
287,6
288,4
289,5
290,4
291,3
292,2
293,2
294,3
295,3
296,4
297,6
298,0
299,0
300,5
301,2
302,4
303,3
304,5
305,3
306,2
307,3
308,0
309,2
310,3
311,3
312,3
313,6
314,6
315,4
316,0
317,6
318,0
319,0
320,4
321,4
322,0
323,6
324,5
325,4
326,6
327,6
328,0
329,3
330,3
331,6
332,6
333,2
334,4
335,3
336,2
337,6
338,0
339,3
340,3
341,0
342,3
343,3
344,3
345,3
346,6
347,3
348,0
349,4
350,0
351,0
352,4
353,4
354,3
355,5
356,6
357,2
358,2
359,3
360,3
361,5
362,5
363,6
364,4
365,5
366,3
367,3
368,1
369,3
370,3
371,1
372,4
373,3
374,6
375,5
376,4
377,4
378,3
379,6
380,0
381,2
382,0
383,2
384,6
385,3
386,3
387,5
388,0
389,0
390,4
391,5
392,5
393,3
394,6
395,0
396,3
397,0
398,4
399,1
400,3
401,4
402,6
403,4
404,4
405,5
406,6
407,3
408,6
409,3
410,2
411,0
412,4
413,6
414,0
415,4
416,5
417,0
418,3
419,3
420,2
421,4
422,0
423,5
424,5
425,4
426,3
427,6
428,4
429,6
430,3
431,3
432,6
433,3
434,2
435,6
436,0
437,2
438,4
439,3
440,4
441,3
442,4
443,0
444,3
445,5
446,6
447,1
448,6
449,6
450,3
451,2
452,0
453,5
454,2
455,6
456,3
457,0
458,3
459,2
460,3
461,0
462,3
463,6
464,3
465,4
466,2
467,2
468,3
469,5
470,4
471,0
472,2
473,4
474,4
475,5
476,0
477,5
478,6
479,6
480,4
481,3
482,4
483,6
484,4
485,4
486,6
487,2
488,6
489,2
490,3
491,4
492,5
493,4
494,2
495,0
496,6
497,0
498,0
499,4
500,4
501,0
502,3
503,4
504,2
505,3
506,5
507,3
508,2
509,6
510,5
511,6
512,4
513,4
514,6
515,0
516,5
517,2
518,0
519,6
520,3
521,6
522,0
523,1
524,0
525,4
526,4
527,2
528,4
529,6
530,5
531,5
532,6
533,2
534,3
535,3
536,0
537,2
538,6
539,6
540,0
541,6
542,0
543,0
544,6
545,0
546,6
547,3
548,1
549,2
550,3
551,3
552,2
553,2
554,3
555,2
556,3
557,5
558,4
559,5
560,5
561,6
562,4
563,3
564,6
565,0
566,6
567,0
568,2
569,2
570,3
571,3
572,0
573,5
574,0
575,5
576,5
577,4
578,5
579,0
580,4
581,3
582,2
583,5
584,6
585,3
586,4
587,4
588,0
589,4
590,0
591,0
592,5
593,6
594,2
595,3
596,0
597,6
598,4
599,6
600,6
601,3
602,6
603,6
604,6
605,0
606,3
607,4
608,5
609,3
610,2
611,6
612,5
613,3
614,2
615,2
616,4
617,3
618,2
619,5
620,6
621,3
622,2
623,6
624,2
625,6
626,6
627,3
628,4
629,5
630,5
631,3
632,3
633,4
634,3
635,2
636,6
637,0
638,4
639,5
640,3
641,3
642,4
643,3
644,3
645,4
646,6
647,3
648,3
649,0
650,6
651,3
652,0
653,5
654,2
655,2
656,0
657,6
658,3
659,6
660,4
661,3
662,3
663,4
664,3
665,6
666,6
667,2
668,4
669,4
670,0
671,4
672,3
673,3
674,3
675,3
676,2
677,0
678,5
679,3
680,2
681,3
682,2
683,4
684,4
685,3
686,3
687,2
688,3
689,2
690,0
691,3
692,4
693,6
694,0
695,5
696,0
697,2
698,0
699,5
700,6
701,5
702,5
703,5
704,3
705,3
706,3
707,4
708,4
709,2
710,6
711,3
712,5
713,5
714,4
715,4
716,0
717,4
718,5
719,4
720,3
721,5
722,5
723,0
724,3
725,5
726,3
727,4
728,3
729,4
730,0
731,2
732,5
733,2
734,0
735,3
736,3
737,4
738,5
739,0
740,5
741,0
742,6
743,0
744,2
745,3
746,5
747,3
748,4
749,3
750,4
751,0
752,0
753,0
754,6
755,6
756,4
757,4
758,3
759,3
760,4
761,6
762,3
763,5
764,6
765,0
766,3
767,5
768,6
769,4
770,3
771,3
772,3
773,0
774,4
775,6
776,6
777,3
778,3
779,2
780,2
781,0
782,6
783,6
784,6
785,6
786,2
787,3
788,3
789,4
790,6
791,3
792,2
793,3
794,3
795,3
796,3
797,4
798,0
799,6
800,4
801,2
802,3
803,0
804,3
805,5
806,3
807,6
808,4
809,2
810,0
811,6
812,3
813,2
814,4
815,2
816,3
817,6
818,4
819,6
820,6
821,3
822,3
823,3
824,3
825,3
826,6
827,4
828,2
829,3
830,3
831,6
832,6
833,4
834,3
835,4
836,6
837,3
838,4
839,6
840,6
841,0
842,2
843,6
844,2
845,3
846,4
847,2
848,5
849,3
850,2
851,5
852,5
853,4
854,2
855,4
856,2
857,5
858,4
859,5
860,3
861,3
862,6
863,0
864,3
865,6
866,4
867,0
868,2
869,2
870,3
871,6
872,6
873,4
874,6
875,5
876,3
877,4
878,0
879,0
880,3
881,4
882,4
883,0
884,3
885,0
886,3
887,6
888,2
889,4
890,2
891,0
892,2
893,3
894,4
895,3
896,2
897,5
898,6
899,6
900,3
901,3
902,4
903,6
904,0
905,6
906,6
907,4
908,3
909,6
910,5
911,6
912,4
913,3
914,3
915,6
916,3
917,3
918,3
919,4
920,3
921,4
922,2
923,2
924,4
925,2
926,3
927,4
928,2
929,0
930,4
931,6
932,0
933,0
934,4
935,3
936,4
937,3
938,3
939,0
940,6
941,3
942,4
943,3
944,4
945,4
946,3
947,3
948,0
949,5
950,2
951,0
952,0
953,4
954,2
955,3
956,2
957,3
958,6
959,4
960,0
961,6
962,6
963,3
964,5
965,6
966,2
967,0
968,3
969,2
970,2
971,3
972,5
