id,value
id_0,6.692178497687618
id_1,17.51280969798189
id_2,21.864324150200535
id_3,6.627965357252272
id_4,26.948020266703214
id_5,21.654348416707265
id_6,24.259023730747447
id_7,29.939350072141696
id_8,16.656902389643424
id_9,58.71996358959231
id_10,10.04870673789664
id_11,7.335639179183982
id_12,63.27770087702756
id_13,52.13340121108013
id_14,21.591121458241577
id_15,13.21889608209943
id_16,33.33952751762179
id_17,66.57183135637898
id_18,0.6073944830560946
id_19,17.258004712677206
id_20,41.96559485580741
id_21,73.29944496205287
id_22,9.334831815504876
id_23,19.012430354673942
id_24,14.847029806585295
id_25,36.79355609981254
id_26,15.798979983543607
id_27,82.45341062282033
id_28,7.490199173436165
id_29,55.80322138493718
id_30,24.31440677169653
id_31,8.50299800311227
id_32,2.5549200959423564
id_33,17.138972949885208
id_34,27.362354366678698
id_35,36.44537614816494
id_36,44.430516627537315
id_37,31.030271557105163
id_38,41.46142587510853
id_39,35.54889628002907
id_40,7.199337337963874
id_41,41.00361104192747
id_42,30.130598585238893
id_43,49.60668004752493
id_44,17.736870508732434
id_45,35.03495391772472
id_46,24.340865968472297
id_47,9.272528628218547
id_48,24.81933943009658
id_49,33.20987594870635
id_50,18.617541305123748
id_51,8.927033009167259
id_52,19.204547055783042
id_53,52.47926252433656
id_54,14.405368093143558
id_55,35.14711154122035
id_56,32.55946716448684
id_57,20.506960989832194
id_58,57.75929896059883
id_59,22.318855053077954
id_60,12.750656917534554
id_61,41.663284934035445
id_62,11.664108323557278
id_63,50.61581632586541
id_64,13.917125369505372
id_65,18.010723838941175
id_66,14.700137008068562
id_67,-0.507509384139221
id_68,42.66586819465543
id_69,27.819540709277394
id_70,20.47566662227257
id_71,42.94489540942306
id_72,62.48863382244525
id_73,6.23684472162215
id_74,16.523164264381304
id_75,3.4997667741409244
id_76,37.93363600868497
id_77,13.1038123925747
id_78,21.420454067175353
id_79,22.133282882949818
id_80,23.75173141379626
id_81,34.946614684004
id_82,21.500591081685926
id_83,93.88949711956454
id_84,36.52375814830327
id_85,27.343081231875768
id_86,20.870477974940567
id_87,35.349937697486766
id_88,22.126453307639313
id_89,20.626745795429795
id_90,28.804858774635036
id_91,41.35220906317835
id_92,5.156010311237896
id_93,39.53480697826521
id_94,45.75401475357029
id_95,16.730794840103897
id_96,32.655082062530525
id_97,12.40571898160887
id_98,21.915073725154517
id_99,4.422176227140883
id_100,17.864692494387526
id_101,25.834832807443814
id_102,15.326185984891312
id_103,15.745029788868298
id_104,23.61597798446969
id_105,38.19257057955128
id_106,31.17088413272376
id_107,6.019655975648218
id_108,5.692291811234487
id_109,79.78457264671943
id_110,49.64925903353183
id_111,16.481614151242734
id_112,27.37062170867542
id_113,16.327131066256875
id_114,13.138358009160036
id_115,25.057204168996556
id_116,26.670517025186047
id_117,11.611911465449236
id_118,17.190064602748006
id_119,19.491307636933026
id_120,81.86296754654694
id_121,25.03358755266866
id_122,35.869424567141536
id_123,24.294881045974865
id_124,6.260874504830903
id_125,38.15646773995063
id_126,8.014753657448582
id_127,23.786722838240134
id_128,30.057869547924465
id_129,61.986317065006475
id_130,22.197966804729898
id_131,24.11192371421968
id_132,59.46181512697993
id_133,15.031806627141387
id_134,13.53717564955134
